productid,quantity,event,messageid,userid,orderid
product-194,1,OrderEvent,11d9d215-59a3-47ac-a143-9a659b741ede,user-93,50042
product-553,3,OrderEvent,1ad2f438-8de6-4e24-a9fd-b39bb2b1576d,user-240,50043
product-186,1,OrderEvent,0579007e-4350-46e9-9f91-541b3070d1c3,user-16,50044
product-905,3,OrderEvent,eb80ac4c-2a58-4c8c-b451-508a3fed5c0c,user-405,50045
product-465,3,OrderEvent,5aea00fa-9f50-4e33-9c64-27c71a3d7a9b,user-482,50046
product-87,2,OrderEvent,51986345-fa1c-4fe3-ac8f-82e5e2049ac8,user-9,50047
product-103,1,OrderEvent,774ea435-80db-46ce-bb04-90c22468d449,user-23,50048
product-391,2,OrderEvent,774ea435-80db-46ce-bb04-90c22468d449,user-23,50048
product-342,3,OrderEvent,f36f13d9-19e5-4840-b95d-c9d4165a54e0,user-275,50049
product-304,1,OrderEvent,5d436cde-34be-4d9d-b395-8ddfc716450d,user-111,50050
product-471,2,OrderEvent,5d436cde-34be-4d9d-b395-8ddfc716450d,user-111,50050
product-128,3,OrderEvent,cc03d13a-09ec-4301-b95f-b59c4fba450e,user-67,50051
product-412,3,OrderEvent,519596a0-eb9e-4028-b200-100e4b277b4d,user-73,50052
product-190,2,OrderEvent,703544a2-c17b-40a1-9f80-f71e1e28cbd9,user-66,50053
product-372,1,OrderEvent,be589344-74e0-420b-9ed3-9407f68b1832,user-80,50054
product-556,3,OrderEvent,00d8a5f3-f584-4098-bb73-522d2122f498,user-55,50055
product-178,1,OrderEvent,15170ffd-bf43-4591-be61-6f9b1f1f8806,user-27,50056
product-211,2,OrderEvent,15170ffd-bf43-4591-be61-6f9b1f1f8806,user-27,50056
product-280,3,OrderEvent,b85bb480-de5b-4206-bb02-4a97591e3b49,user-493,50057
product-73,3,OrderEvent,808da8d3-70ce-4e9d-a658-9c372a3c7f63,user-15,50058
product-583,1,OrderEvent,bd4e129a-8863-4618-ad2b-2a741d5dc40c,user-101,50059
product-375,1,OrderEvent,048fd0d5-49a5-41ed-8858-ed0cfbc20dea,user-97,50060
product-521,1,OrderEvent,048fd0d5-49a5-41ed-8858-ed0cfbc20dea,user-97,50060
product-89,3,OrderEvent,5df1cccc-1e3a-42d4-971e-72d1f61629f6,user-47,50061
product-158,3,OrderEvent,024ed02a-e5b5-441a-a8cd-e523dd4cf66f,user-256,50062
product-206,3,OrderEvent,84fca0d5-a703-41de-92c8-a9bc05e0c07d,user-186,50063
product-625,3,OrderEvent,21182da9-e028-43ae-8966-c1211755f59e,user-9,50064
product-84,2,OrderEvent,21182da9-e028-43ae-8966-c1211755f59e,user-9,50064
product-980,1,OrderEvent,c0981c0b-c2c7-4c04-8ca5-28f97553c6e9,user-351,50065
product-214,3,OrderEvent,f7e85d35-6510-44d7-824a-ab564dc4b259,user-235,50066
product-368,3,OrderEvent,8e7d8194-b259-41b4-9196-f1e1904f4cb2,user-91,50067
product-46,2,OrderEvent,c090f9f0-adc1-4410-bbc0-61acb9e148b3,user-288,50068
product-608,2,OrderEvent,4cdf4b37-eaa9-47dc-9de1-df2fa44fd6cf,user-164,50069
product-340,3,OrderEvent,29ff7874-2a29-4661-b8ed-525857ba107d,user-128,50070
product-522,1,OrderEvent,29ff7874-2a29-4661-b8ed-525857ba107d,user-128,50070
product-219,1,OrderEvent,29abb92f-e055-4b0d-b884-c89950e453ec,user-62,50071
product-134,1,OrderEvent,0f47f733-4b3b-4e93-98e4-f3f408ce13eb,user-133,50072
product-915,2,OrderEvent,0f47f733-4b3b-4e93-98e4-f3f408ce13eb,user-133,50072
product-130,3,OrderEvent,ba065f9d-f48d-45a5-81f9-20a8c6cd5a40,user-323,50073
product-178,1,OrderEvent,f3e63037-2db7-49d7-a6e4-abf27c30565e,user-102,50074
product-53,3,OrderEvent,e082f819-ef10-41d3-93e4-6e7870f82f2f,user-60,50075
product-773,2,OrderEvent,bcb5389a-865d-4ab8-b1ed-624a48665593,user-191,50076
product-105,2,OrderEvent,1239be8d-0c0d-48c5-9571-e4a7702468b9,user-89,50077
product-182,2,OrderEvent,ed8d2f40-910a-4107-86d1-62586fbda1fa,user-121,50078
product-525,3,OrderEvent,e822abdd-c0bd-49e9-9eb8-ce41d11855b8,user-11,50079
product-840,3,OrderEvent,82abd890-c393-4a94-88bb-d8386026189c,user-272,50080
product-198,1,OrderEvent,82abd890-c393-4a94-88bb-d8386026189c,user-272,50080
product-87,3,OrderEvent,e17de0b6-d1fe-4dfc-9132-6f58359ca4bb,user-70,50081
product-172,1,OrderEvent,3ad4a97a-8f52-4a1b-946b-1f57afc90f0e,user-346,50082
product-438,2,OrderEvent,2d3ad162-27f3-4a6c-a1a6-50de7ec7ef56,user-309,50083
product-330,3,OrderEvent,1b3b4e14-2b28-403e-94a8-5ddf3f0d725f,user-315,50084
product-434,3,OrderEvent,44e3b5c6-1088-427c-997b-e85be2e55def,user-26,50085
product-98,2,OrderEvent,a8c16f7b-2fe8-4f9b-bcd8-09cd08dfe336,user-18,50086
product-83,3,OrderEvent,2fe38153-4415-49ea-a8bc-801cc5c77548,user-343,50087
product-278,1,OrderEvent,28b908b9-1b69-40fd-8155-34feac075995,user-22,50088
product-548,1,OrderEvent,28b908b9-1b69-40fd-8155-34feac075995,user-22,50088
product-159,1,OrderEvent,19bb8ff3-cd49-4e20-95df-ac50f8e2ad2b,user-18,50089
product-119,3,OrderEvent,ace6dd7b-3357-429b-9248-eee3588180b0,user-4,50090
product-58,2,OrderEvent,75fb5b12-9bd6-43ce-9e86-24cd19a7e18d,user-65,50091
product-202,2,OrderEvent,e2bcdabe-6532-4d82-8a1a-001fde4be9de,user-1,50092
product-189,3,OrderEvent,242897be-6a07-485e-a2e5-4129c19cf96f,user-136,50093
product-954,1,OrderEvent,d14d049d-3014-45dc-82e2-a42c75dfb23b,user-240,50094
product-160,1,OrderEvent,3cf1da8f-d3e0-4c34-9ca6-de26e08f08ac,user-14,50095
product-484,1,OrderEvent,db819d74-80da-4b5e-ad46-6cf57f99975d,user-397,50096
product-185,2,OrderEvent,db819d74-80da-4b5e-ad46-6cf57f99975d,user-397,50096
product-158,2,OrderEvent,099dc593-3405-4f6e-9cfd-24b092aa150e,user-453,50097
product-132,2,OrderEvent,e020c9eb-7608-42f1-b8df-51efbe99641a,user-20,50098
product-308,1,OrderEvent,ac25501b-0a7c-4eb4-8efa-ec82a627904e,user-253,50099
product-78,1,OrderEvent,0726cdff-641b-4f9c-9dcf-4b6a4e628099,user-368,50100
product-60,2,OrderEvent,0726cdff-641b-4f9c-9dcf-4b6a4e628099,user-368,50100
product-445,2,OrderEvent,2cf8bfb9-e5f2-43b5-96f2-0d9f2b72e498,user-415,50101
product-532,3,OrderEvent,8731e579-25c6-47b7-888c-90c9df3bc68a,user-93,50102
product-772,1,OrderEvent,850a2503-4ec7-4d86-a56c-6cff6dbfb212,user-306,50103
product-50,2,OrderEvent,d9971dba-1f20-49b7-aad9-7fad9d5d0bce,user-86,50104
product-199,1,OrderEvent,d9971dba-1f20-49b7-aad9-7fad9d5d0bce,user-86,50104
product-218,2,OrderEvent,61a778dc-692d-479c-9adb-8e7495199569,user-116,50105
product-535,2,OrderEvent,e702fc9c-345b-4099-a9a5-b59645a73f03,user-9,50106
product-88,3,OrderEvent,f0605bfb-0f79-476e-9459-8bc27824cf92,user-135,50107
product-91,2,OrderEvent,a00b1565-b91e-49cb-827c-54224fe3de3a,user-80,50108
product-291,1,OrderEvent,b4843b4d-3376-4619-bf95-0115c0eb5d9d,user-163,50109
product-164,1,OrderEvent,5287371e-2c3b-43ac-84e2-d7d871391e90,user-221,50110
product-910,1,OrderEvent,364d9561-0aeb-42f5-a29c-b990a15ed3d3,user-462,50111
product-64,1,OrderEvent,f4be6b8c-3518-4013-8a85-a54e33a659d4,user-69,50112
product-333,2,OrderEvent,f4be6b8c-3518-4013-8a85-a54e33a659d4,user-69,50112
product-198,2,OrderEvent,97a7a30c-8342-420e-85dd-d05a752336cc,user-214,50113
product-25,2,OrderEvent,00826659-dcc9-4adf-8fed-be1dce41a26d,user-62,50114
product-512,3,OrderEvent,8a2ec3e1-fdcc-408b-8a48-b35ccef07ca1,user-129,50115
product-108,2,OrderEvent,b84bd823-d465-4580-bba0-d4da3534a834,user-34,50116
product-587,2,OrderEvent,23f750b5-90ca-4fa4-b1e9-3a234a20ef3b,user-85,50117
product-676,1,OrderEvent,d8321e84-15a2-40f3-a8f7-06958ad4a613,user-33,50118
product-225,1,OrderEvent,733234ac-da82-4694-8673-c6b2cb190acc,user-146,50119
product-334,1,OrderEvent,c67f44b3-9414-412e-86ff-d72c52ef86b0,user-148,50120
product-231,2,OrderEvent,c67f44b3-9414-412e-86ff-d72c52ef86b0,user-148,50120
product-161,1,OrderEvent,c67f44b3-9414-412e-86ff-d72c52ef86b0,user-148,50120
product-139,3,OrderEvent,8e858df5-d64f-4af9-8222-d84110c5bc2d,user-288,50121
product-950,2,OrderEvent,60b4035a-573a-4796-8cbf-e339568cbf45,user-494,50122
product-799,3,OrderEvent,3ad5fda2-dcf0-4085-98a5-3a3d6c77a378,user-130,50123
product-454,2,OrderEvent,407f0ecd-f419-423d-8284-15eecfbb47cd,user-112,50124
product-36,1,OrderEvent,30c4525b-61cb-4a3d-9c90-63388ea49264,user-69,50125
product-10,2,OrderEvent,348e7030-d2db-404b-9a94-513a7cb78cf3,user-99,50126
product-212,3,OrderEvent,2d242c62-f437-41fb-a73f-76f69134448f,user-180,50127
product-463,3,OrderEvent,92770af0-6bf4-456d-889b-1abf87ddc05e,user-332,50128
product-459,2,OrderEvent,92770af0-6bf4-456d-889b-1abf87ddc05e,user-332,50128
product-113,2,OrderEvent,10e0e2cc-d8e5-4430-97f3-d3452a99aabb,user-87,50129
product-377,3,OrderEvent,da200929-6250-479a-967e-661acdf762b7,user-15,50130
product-165,2,OrderEvent,da200929-6250-479a-967e-661acdf762b7,user-15,50130
product-371,1,OrderEvent,f480eabd-d209-432d-81c3-d084d37f5356,user-183,50131
product-95,2,OrderEvent,7993b4d2-40cb-4f1e-8f44-badd798a3390,user-60,50132
product-155,3,OrderEvent,94104156-ceb0-491a-b2c4-8733129e6ea7,user-388,50133
product-392,1,OrderEvent,2704474f-1f7d-4a65-b151-c4ea3b5cd3d4,user-262,50134
product-737,2,OrderEvent,87dd0e4a-4f5d-4ebe-86e7-be1e7259557c,user-195,50135
product-121,3,OrderEvent,e6f30ce8-691c-4993-ba69-dc988fbe398d,user-50,50136
product-50,1,OrderEvent,e6f30ce8-691c-4993-ba69-dc988fbe398d,user-50,50136
product-799,2,OrderEvent,fbcad90f-caa3-49a3-950f-b40177605fec,user-124,50137
product-42,3,OrderEvent,cba55b91-d69f-4e9a-a637-f5415f8cdfb1,user-26,50138
product-165,3,OrderEvent,575d399a-2052-4d7a-b743-b7302a2dde60,user-16,50139
product-226,2,OrderEvent,bd1bb788-9048-4bd8-9306-2959feb9e98a,user-436,50140
product-52,1,OrderEvent,bd1bb788-9048-4bd8-9306-2959feb9e98a,user-436,50140
product-980,2,OrderEvent,6c283ac9-7da5-4d7f-b6f3-6b74cfc311e5,user-49,50141
product-158,3,OrderEvent,d33d84df-4e84-4938-b82c-b8996b71e090,user-63,50142
product-452,1,OrderEvent,5ea8bb64-de9e-4395-ab4d-1e70776f5b67,user-356,50143
product-382,1,OrderEvent,f86a2342-eba9-457c-82b2-70f1714ffb5b,user-201,50144
product-346,1,OrderEvent,f86a2342-eba9-457c-82b2-70f1714ffb5b,user-201,50144
product-777,2,OrderEvent,24d95f73-ce4c-4788-8c9d-048d5cad602e,user-307,50145
product-168,2,OrderEvent,239740ff-30eb-45a7-a138-64e6a8ca43df,user-289,50146
product-66,3,OrderEvent,029b946a-5979-4e1b-8733-d8d96ddca34c,user-69,50147
product-150,2,OrderEvent,42cd82a8-0913-4258-89ac-9b081e3f0f42,user-38,50148
product-357,1,OrderEvent,035d8f24-c20a-4194-828b-91fc40e0e096,user-157,50149
product-171,1,OrderEvent,8addeca5-98c8-4329-8d86-07562e100f35,user-252,50150
product-24,1,OrderEvent,8addeca5-98c8-4329-8d86-07562e100f35,user-252,50150
product-584,2,OrderEvent,760cee98-fda9-4eaf-9afb-141a0bf22d90,user-63,50151
product-562,1,OrderEvent,f7022a75-bfa2-40f9-928a-3228cf39b3ce,user-474,50152
product-89,2,OrderEvent,f7022a75-bfa2-40f9-928a-3228cf39b3ce,user-474,50152
product-30,3,OrderEvent,1d6fca1e-b3cc-4917-aeab-dd079bdd2457,user-79,50153
product-63,1,OrderEvent,59c86a09-c789-4133-83ae-65d3e537c37e,user-146,50154
product-53,2,OrderEvent,c6bbcfed-5f5e-4c83-890b-f76af6c81055,user-53,50155
product-480,3,OrderEvent,9e9f6667-2714-4e3a-846e-7cf4b9c1e06b,user-73,50156
product-738,3,OrderEvent,f5f6cb2a-a17c-465a-aa10-0fc4244b91e6,user-400,50157
product-172,2,OrderEvent,8e264aac-d0ac-4318-8ad8-a680f086e29f,user-48,50158
product-843,1,OrderEvent,a97bd7fc-cffa-482a-984a-3bb49279fefa,user-90,50159
product-178,2,OrderEvent,1008393c-7069-4fb4-b79c-4644e7b8c057,user-76,50160
product-91,1,OrderEvent,1008393c-7069-4fb4-b79c-4644e7b8c057,user-76,50160
product-465,1,OrderEvent,1008393c-7069-4fb4-b79c-4644e7b8c057,user-76,50160
product-365,2,OrderEvent,7a07e72d-f209-4a44-8332-098227a9a9f9,user-146,50161
product-177,2,OrderEvent,6b652445-e213-40be-881d-2a697feb27a6,user-160,50162
product-97,1,OrderEvent,cf8e072f-7d56-4268-b77a-7bb21700432a,user-110,50163
product-367,1,OrderEvent,0d91493e-2ae8-48f5-9036-ddb8ba31ca09,user-23,50164
product-337,2,OrderEvent,0e3af745-b766-4ce7-bbd6-08933ade69df,user-375,50165
product-208,1,OrderEvent,2dc2a908-34d8-43f1-b360-968fb806dcac,user-193,50166
product-727,1,OrderEvent,2c893fda-0d13-4230-bbe9-9343215be0d6,user-129,50167
product-137,3,OrderEvent,636347b0-10a9-4d5d-8bc8-daf5a65e44bd,user-48,50168
product-379,1,OrderEvent,636347b0-10a9-4d5d-8bc8-daf5a65e44bd,user-48,50168
product-322,3,OrderEvent,de82cd94-f688-4fd4-a96b-146abffd11d3,user-50,50169
product-349,2,OrderEvent,f9106cfe-2474-4206-94c4-e91585c6ff77,user-329,50170
product-627,1,OrderEvent,f9106cfe-2474-4206-94c4-e91585c6ff77,user-329,50170
product-79,3,OrderEvent,d1a5689c-47c0-488a-91f2-5349ff0ee8b4,user-32,50171
product-260,2,OrderEvent,47262b11-ab40-4a7b-86df-99cbc305d331,user-51,50172
product-11,2,OrderEvent,4de4daed-097e-449f-83a8-53993a67234d,user-156,50173
product-294,3,OrderEvent,9b7444dd-cacd-4b0b-bb23-1f98079b1233,user-61,50174
product-315,2,OrderEvent,0bd3de6c-4b39-4905-a3f5-8aff58afb0ba,user-181,50175
product-81,2,OrderEvent,0787e245-844b-48a1-a10c-82133dcaceba,user-65,50176
product-321,2,OrderEvent,0787e245-844b-48a1-a10c-82133dcaceba,user-65,50176
product-214,3,OrderEvent,f14fc62d-a97a-46d9-91f9-89cfd7436280,user-198,50177
product-94,3,OrderEvent,3e97fdbd-71ed-4c2a-99b6-9c2a55ebf57b,user-5,50178
product-35,3,OrderEvent,0f1b39c9-d29b-43eb-a13d-99d5eff3d87c,user-100,50179
product-441,1,OrderEvent,7a4a428d-03fd-44e3-ae37-715ad3ec87cc,user-105,50180
product-465,1,OrderEvent,7a4a428d-03fd-44e3-ae37-715ad3ec87cc,user-105,50180
product-79,3,OrderEvent,0710e697-074f-4bf0-b171-549c350abd09,user-13,50181
product-140,2,OrderEvent,4c44e5d7-d045-43b3-98cf-6fa9e47c767f,user-298,50182
product-409,2,OrderEvent,5fdda894-59e7-4553-9ff5-cb6eaded53af,user-41,50183
product-677,3,OrderEvent,fd8becf4-bd96-4b66-8b63-5d04ce61ceae,user-85,50184
product-604,1,OrderEvent,fd8becf4-bd96-4b66-8b63-5d04ce61ceae,user-85,50184
product-175,1,OrderEvent,a1bbb947-d958-4bd7-abeb-e9c74543b250,user-32,50185
product-159,1,OrderEvent,94d23315-c586-4a93-8f94-c3e647bd2889,user-26,50186
product-437,2,OrderEvent,93db81eb-59fb-43a9-a18d-dedc2b373c98,user-367,50187
product-162,1,OrderEvent,b723cd8e-9da5-4b8a-b945-1970584f6992,user-45,50188
product-569,1,OrderEvent,9046eaaf-04fe-4024-8cf9-393e5172a832,user-396,50189
product-52,2,OrderEvent,d9752c7e-6dd0-4bde-b0ee-86a28d764cd0,user-21,50190
product-21,1,OrderEvent,d9752c7e-6dd0-4bde-b0ee-86a28d764cd0,user-21,50190
product-585,2,OrderEvent,2c1b2b09-6cc6-4143-89b3-68bd689180d5,user-272,50191
product-325,3,OrderEvent,c4e8c1ab-de65-4c54-a0a1-d4da53192d96,user-255,50192
product-163,2,OrderEvent,c4e8c1ab-de65-4c54-a0a1-d4da53192d96,user-255,50192
product-438,1,OrderEvent,88216723-02e0-40ef-8d3f-1e3f968bf8b3,user-124,50193
product-625,2,OrderEvent,1bb197e8-4466-4498-97da-a6c43992523c,user-17,50194
product-560,2,OrderEvent,956de9b8-66aa-434d-aef7-58b66c886411,user-12,50195
product-45,3,OrderEvent,cb42ed8d-10cc-412c-91a1-e250ae386edd,user-48,50196
product-362,1,OrderEvent,0da146f7-301e-4f13-8a7a-5c13ffc71889,user-95,50197
product-166,3,OrderEvent,d87578a9-eed9-48f5-a8f3-c28f6ce80f5e,user-61,50198
product-688,3,OrderEvent,6476fa6a-d4a2-4955-8ddb-09b7eb72e97b,user-161,50199
product-657,3,OrderEvent,ee388f22-3c79-4c77-9d1f-2d7adc220b74,user-241,50200
product-380,2,OrderEvent,ee388f22-3c79-4c77-9d1f-2d7adc220b74,user-241,50200
product-142,2,OrderEvent,ee388f22-3c79-4c77-9d1f-2d7adc220b74,user-241,50200
product-648,3,OrderEvent,724243ce-775c-40be-b2e9-6da2cb59db62,user-121,50201
product-646,1,OrderEvent,bad6559c-713d-448d-9178-e4321ba5eab9,user-43,50202
product-49,3,OrderEvent,a55f8db8-ea33-415d-9fa2-5a354f6fd2dd,user-54,50203
product-351,1,OrderEvent,04ce97d4-1ef8-4cd8-8a9b-1c2038d1ae4a,user-80,50204
product-491,3,OrderEvent,b0b8e858-75d1-4c44-a576-8126fbd31657,user-163,50205
product-148,1,OrderEvent,5fa4f31d-b21b-4283-be1f-93dd37aacef4,user-117,50206
product-58,2,OrderEvent,00ab9f6c-1ab1-49b7-beea-75251663a50f,user-286,50207
product-552,2,OrderEvent,f4b05cbb-8569-4d8f-8f3e-c06b03d96cf8,user-377,50208
product-533,3,OrderEvent,d9fc98dd-bc74-4866-bed8-302071bdee56,user-479,50209
product-175,2,OrderEvent,aaed7d38-b2e0-47f8-a676-eaeaed19fc60,user-221,50210
product-264,1,OrderEvent,aaed7d38-b2e0-47f8-a676-eaeaed19fc60,user-221,50210
product-649,3,OrderEvent,50e62ec6-f834-430f-b3df-0c19f99f75d1,user-456,50211
product-203,2,OrderEvent,ebeb9e3d-5e73-4cb0-8353-855fbce141c1,user-224,50212
product-216,2,OrderEvent,ea7b2f00-3e3b-4904-8b51-1734bedb9e0b,user-137,50213
product-390,2,OrderEvent,1d0d215a-a7a7-40f3-9d36-30b3235ab2ae,user-167,50214
product-125,1,OrderEvent,7320227a-f6a6-42d5-a4d2-6fa80669cdc8,user-299,50215
product-773,2,OrderEvent,f9638a94-3b38-46c6-af62-ba8bedac371c,user-39,50216
product-185,2,OrderEvent,f9638a94-3b38-46c6-af62-ba8bedac371c,user-39,50216
product-170,2,OrderEvent,7faa8361-9dbf-4dfe-837e-64e63880811e,user-353,50217
product-54,3,OrderEvent,610af497-d7b1-4e16-9a90-65a9514396ea,user-53,50218
product-356,1,OrderEvent,a2aab6db-52e5-41ef-83fb-71a35ea983b5,user-219,50219
product-907,3,OrderEvent,b92070d5-43ef-4a1d-9e00-2948aaaadef8,user-264,50220
product-569,2,OrderEvent,b92070d5-43ef-4a1d-9e00-2948aaaadef8,user-264,50220
product-1,1,OrderEvent,8727204f-09ea-448c-8924-61fa4d62b317,user-131,50221
product-546,2,OrderEvent,77f3c0a4-0099-42ed-ba0e-588c944e2214,user-148,50222
product-109,2,OrderEvent,3b06e4f2-0849-4bb1-a9d8-8f3bf87e84df,user-24,50223
product-36,1,OrderEvent,0f49c33a-1a0e-4340-9e26-cef153cbe8ca,user-67,50224
product-462,2,OrderEvent,0f49c33a-1a0e-4340-9e26-cef153cbe8ca,user-67,50224
product-590,2,OrderEvent,ad9952f6-d743-4474-b787-93f1bb2bb19f,user-404,50225
product-176,3,OrderEvent,08ab7e74-245c-4b81-9435-2664d790a0a2,user-53,50226
product-105,3,OrderEvent,37057810-ff43-4106-b0d4-1e8951ac69db,user-111,50227
product-699,3,OrderEvent,01a99cee-ab46-44f5-8ef8-0445aa8a08ee,user-281,50228
product-854,1,OrderEvent,64058124-a8f9-4619-a2bf-fd650a17b1c9,user-340,50229
product-22,3,OrderEvent,a82561cd-8472-4abf-baf0-121de44bebe5,user-384,50230
product-646,2,OrderEvent,a82561cd-8472-4abf-baf0-121de44bebe5,user-384,50230
product-95,2,OrderEvent,d73ffaa5-b683-4f07-acaf-a939f6cd7d6b,user-90,50231
product-249,2,OrderEvent,4f493d41-28cc-44f5-ac13-aa1a9d582ed3,user-332,50232
product-899,2,OrderEvent,4f493d41-28cc-44f5-ac13-aa1a9d582ed3,user-332,50232
product-317,1,OrderEvent,99e02914-9f3a-456e-98c3-c051fa9e0512,user-240,50233
product-14,1,OrderEvent,bc939cdc-a897-49d6-9b3d-57f7a90807f6,user-39,50234
product-389,2,OrderEvent,0de78775-f09a-4ab1-b467-853524e66bf8,user-183,50235
product-581,2,OrderEvent,8db46153-e5b3-410f-8933-9ed2c3769a70,user-84,50236
product-535,1,OrderEvent,836eca66-945c-469a-a095-0fafe1f1a1b0,user-228,50237
product-645,3,OrderEvent,2ee97633-cf8f-4922-9baa-bb9a4335a9eb,user-83,50238
product-70,1,OrderEvent,1fa3cd09-5e61-4380-bfbf-bf4233e8425f,user-279,50239
product-1,3,OrderEvent,93b42231-75ed-4575-87fe-73db166bc9be,user-200,50240
product-168,1,OrderEvent,93b42231-75ed-4575-87fe-73db166bc9be,user-200,50240
product-76,1,OrderEvent,93b42231-75ed-4575-87fe-73db166bc9be,user-200,50240
product-157,1,OrderEvent,8e032fe2-59f6-40fa-941b-f3854b10750a,user-2,50241
product-563,2,OrderEvent,5ffed654-0f40-49ea-b599-23eb73f77176,user-158,50242
product-155,2,OrderEvent,515db64a-3f74-4a26-ae56-b19091654b9d,user-131,50243
product-265,2,OrderEvent,1e5c7092-5db3-4ce6-b162-53b6aa52058b,user-150,50244
product-9,1,OrderEvent,ef79e913-117e-4be1-8008-77bb4334b81b,user-79,50245
